post,id
"Не стипендии - а смех, мотивация для студентов - сумма трех походов в продуктовый",91
"Класс, стоимость обучения сделали дешевле!",92
" ТюмГУ подарков не делает и новогодней стипендии нет В конце декабря приходит стипендия, которая должна бы прийти 4 января",93
"2 месяц нет стипы, нормально....... И опять будет отговорка ""техническая ошибка"" Сколько ждать блин",94
"А почему стипендия обычная, не новогодняя? В прошлом году 5 было, в позапрошлом 10",95
"Цены бы поменьше сделали бы для студентов.",96
"Впервые за много-много лет в студенческий месяц стипендию выдали в однократном размере. Много лет в январе стипендия была двух- или трёхкратная.",97
"Ага, и стипендия 2к. Студентам будто время есть работать, особенно первокурам. И как совмещать 😑",98
"Где можно ознакомиться с перечнем стипендий, которые выплачиваются в вашем вузе и условиями их выплат? Маловата стипендия у вас для Московской области, в соседних регионах и то побольше.",99
"Магистратура - это отлично! Но сейчас многие выбирают работу, вместо повышения квалификации. А знаете почему? Стипендия всего-то 1825 рублей в месяц. На такую сумму проживешь максимум пару дней, вот и приходится идти работать в ущерб образованию. А потом выпускаются неквалифицированные специалисты. Сергей Миронов предложил повысить стипендию до прожиточного минимума, считаю, что надо поддержать его в этом вопросе, иначе специалистов скоро не останется.",100
"Как много разных стипендий😍😍",101
"Предоставление стипендии в размере 1825 рублей вызывает сомнения и критику. Данная сумма явно недостаточна для обеспечения достойного существования молодого студента. В связи с этим студентам приходится искать дополнительные источники дохода, что негативно сказывается на качестве учебного процесса. Лидер партии СР Миронов, высказал предложение о повышении стипендий для студентов высших учебных заведений и введении льгот по оплате проживания в общежитиях. Данное предложение заслуживает поддержки, поскольку способствует более эффективному обучению студентов. Предлагаю выразить ему поддержку и содействовать в реализации этой инициативы.",102
"Стипендии бы лучше повысили. 2т стипендия- одни слезы, даже на проезд не хватит, не то, что на хлеб.",103
"Справедливости ради со стипендией не все так плохо",104
"Да, к сожалению, академическая стипендия не высокая. Однако, Вы недостаточно осведомлены по поводу возможности получения повышенных стипендий, видимо, пишите про собственный опыт и какой-то блат.  Действительно учеба в приоритете, но многие студенты во всех вузах успешно подрабатывают и это возможно сделать без ущерба для учебы. Мы сами учимся и трудимся в сфере здравоохранения.",105
"остается надеяться, что вернется то время, когда на стипендию можно было прожить месяц до следующей стипендии (конечно, широко не улыбаясь при этом). Это позволяло  погрузиться в учебу тем, кто был увлечен и/или хотел продвинуться в профессии, не отвлекаясь на подработку. Не представляю, как выкручиваются те, кому родители помочь не в состоянии. Да, я понимаю, что подрабатывают, но когда им учиться? В МГУ, меде и других вузах такие напряженные программы - не сравнить с теми временами, когда стипендия была как небольшая  зарплата. А уж при повышенной стипе можно было и на такси в универ катать",106
"Предоставление стипендии в размере 1825 рублей вызывает вопрос: “ Как жить на эти гроши?” Предоставленная сумма безоговорочно мала для обеспечения для жизни молодого студента. Приходится искать источники дохода, что негативно воздействует на учебный процесс. Лидер партии СР Миронов, выставил инициативу о повышении стипендий и введении льгот по проживанию в общежитиях. Предоставленное предписание заслуживает поддержки. Предлагаю выразить ему поддержку и содействовать в реализации данной инициативы.",107
"Будь стипендия не ниже прожиточного минимума, то конечно не стоит сдвигать фокус с учебы",108
"Опять одни обещания... Тут он хоть про повышение стипендии не говорит - зато честно",109
"А можно своих студентов поддерживать? Стипендии индексировать не на 136 рублей, например.   ",110
"Да да, когда в Москве(!) стипендия 3 тысячи рублей, то всё дело, в том что неверная финансовая грамотность, полностью согласен, конечно не в том, что 3к это копейки, нет нет",111
"на стипуху в общаге можно легко жить",112
" Надеюсь, что у него учеба не страдает из-за работы. А то жить на стипендию — смешно. 1825 рублей в месяц, что на них купишь? Пачку пельменей и конфеты к чаю, а как жить оставшийся месяц?   Студентам приходиться работать в ущерб учебе, а как иначе удовлетворять базовые потребности? А еще нужно платить за общежитие, и как, позвольте спросить? На это и обратил внимание Сергей Миронов. Он выдвинул инициативу, что нужно повысить стипендию до прожиточного минимума! Давно пора подумать и о студентах, за ними наше будущее!",113
"Стипендия Профкома. Для меня это мотивация учиться лучше, так как нужен балл выше 4.5 А также приятный денежный бонус, что не может не радовать)",114
"С конца второго курса работаю по специальности Java бекенд разработчиком на 20 часах. Многие сокурсники тоже работают проггерами, но зачастую вообще фулл тайм, тяжеловато, особенно в этом году, но работяжим потихоньку в меру своих сил",115
"Как мы на это должны жить? Раньше то маленькая стипендия была, а щас ещё и урезали. Очень интересно услышать ответ на этот вопрос.",116
"Жить неделю на стипендию еще норм, а вы попробуйте прожить на нашу стипендию месяц",117
"Социальные выплаты тоже снизили на 10к… Честно, я плакала, потому что теперь ни на что не хватает 🫠",118
"Вполне достойная стипендия",119
"На стипендию, которую выплачивают иностранным студентам, даже неплохо жить можно.",120
"в столовой очень дорого",121
"Что за стипендия в Политеха. Зачем люди старались сдавали на ""5"" экзамены и диф зачёты. Почему нет разницы?",122
"Стипендия в размере 1825 рублей — это посмешище. Как на эти денежные средства можно выжить молодому студенту? Молодежи приходится помимо учебы, брать подработки. А ведь для более качественного усвоения образовательной программы, необходимо уделять внимание исключительно учебному процессу. К большому сожалению, у наших студентов не всегда это получается. Вот и лидер партии СР подметил это. Миронов предлагает повысить стипендию студентам вузов и ввести льготы по оплате общежития. Я считаю, что это отличная идея. Поддержим вместе!",123
"И плата за обучение тоже только вверх идёт (",124
"Да-да, 3 тыс стипендии тебе, безусловно, решили б все твои проблемы , даже если их платили б…",125
"За стипендию на полгода ты можешь оплатить где-то один месяц  проживания",126
"Е""учие перваки, из-за вас без стипухи сидим, в чем проблема в назначенный день прийти за картой?",127
"Степендия в январе еще никому не приходила, и это бесит",128
